model,易_acc,易_conf,易_overconf,易_n,中_acc,中_conf,中_overconf,中_n,难_acc,难_conf,难_overconf,难_n
human,0.8257713248638838,3.9455535390199636,0.042422867513611684,551,0.7582417582417582,3.619047619047619,0.06913919413919412,546,0.62,3.1236363636363635,0.1454545454545455,550
local-gemma-e2b,0.9659090909090909,4.931818181818182,0.025568181818181768,352,0.9585492227979274,4.619170984455959,-0.006152849740932553,772,0.8697478991596639,4.323529411764706,0.04569327731092432,476
local-qwen3-1.7b,0.9770114942528736,4.85632183908046,0.005028735632183867,348,0.9682539682539683,4.599206349206349,-0.01835317460317465,756,0.8156182212581344,4.433839479392625,0.11361171366594369,461
local-qwen3-4b,1.0,4.863247863247863,-0.017094017094017144,351,0.9881422924901185,4.544137022397892,-0.04512516469038208,759,0.9429824561403509,4.258771929824562,-0.035635964912280715,456
local-qwen3-14b,0.9971590909090909,4.90625,-0.00887784090909094,352,0.993514915693904,4.553826199740596,-0.04928664072632949,771,0.957983193277311,4.30672268907563,-0.044642857142857206,476
local-gemma-e4b,1.0,4.948863636363637,-0.006392045454545414,352,0.9766536964980544,4.80544747081712,-0.0009727626459143934,771,0.9432773109243697,4.777310924369748,0.028886554621848748,476
qwen-turbo,1.0,5.0,0.0,352,0.9896373056994818,4.8717616580310885,-0.005667098445595764,772,0.9684873949579832,4.880252100840337,0.016544117647058876,476
gpt-4o-mini,1.0,4.988571428571428,-0.0014285714285714457,350,0.9831387808041504,4.815823605706874,-0.006160830090791158,771,0.9850427350427351,4.767094017094017,-0.014155982905982967,468
gpt-5.4-mini,0.9971590909090909,4.985795454545454,0.0010653409090908283,352,0.9935233160621761,4.954663212435233,0.0008095854922279822,772,0.9810924369747899,4.951680672268908,0.012867647058823595,476
deepseek-v4-flash-nothink,1.0,4.9914772727272725,-0.0010653409090909394,352,0.9922279792746114,4.862694300518135,-0.009391191709844482,772,0.9915966386554622,4.861344537815126,-0.008928571428571508,476
deepseek-v4-flash,1.0,4.957264957264957,-0.005341880341880323,351,0.9960681520314548,4.709043250327654,-0.03243774574049807,763,0.9872340425531915,4.54468085106383,-0.04414893617021276,470
gpt-4o,1.0,4.971590909090909,-0.0035511363636363535,352,0.9935233160621761,4.794041450777202,-0.019268134715025864,772,0.9978991596638656,4.7289915966386555,-0.03177521008403361,476
local-gemma-26b-a4b-qat,1.0,5.0,0.0,350,0.9986577181208054,4.954362416107383,-0.004362416107382527,745,1.0,4.891540130151844,-0.013557483731019504,461
deepseek-v4-pro-nothink,1.0,4.988636363636363,-0.0014204545454545858,352,0.9961139896373057,4.928756476683938,-0.005019430051813489,772,0.9873949579831933,4.871848739495798,-0.0034138655462185863,476
deepseek-v4-pro,1.0,4.943181818181818,-0.007102272727272707,352,0.9986824769433466,4.743083003952569,-0.030797101449275388,759,0.9851694915254238,4.548728813559322,-0.041578389830508544,472
qwen3.7-plus-nothink,1.0,5.0,0.0,352,0.9935233160621761,4.9857512953367875,0.0046955958549222965,772,1.0,4.987394957983193,-0.0015756302521008347,476
qwen3.7-max-nothink,1.0,5.0,0.0,352,0.9948186528497409,4.97279792746114,0.0017810880829015607,772,1.0,4.945378151260504,-0.0068277310924369505,476
gpt-5.5,1.0,4.997159090909091,-0.00035511363636364646,352,0.9986979166666666,4.97265625,-0.0021158854166666297,768,1.0,4.919831223628692,-0.010021097046413519,474
qwen3.7-plus,1.0,5.0,0.0,352,1.0,4.954663212435233,-0.005667098445595875,772,0.9978991596638656,4.90546218487395,-0.009716386554621814,476
qwen3.7-max,1.0,5.0,0.0,352,1.0,4.980569948186528,-0.0024287564766839465,772,1.0,4.951680672268908,-0.006039915966386533,476
