model,常规_acc,常规_conf,常规_overconf,常规_n,学科_acc,学科_conf,学科_overconf,学科_n,陷阱_acc,陷阱_conf,陷阱_overconf,陷阱_n,幻觉_acc,幻觉_conf,幻觉_overconf,幻觉_n
human,0.7990314769975787,4.043583535108959,0.08141646489104115,413,0.8619854721549637,4.079903147699758,0.02300242130750607,413,0.7669902912621359,3.4927184466019416,0.044599514563106846,412,0.508557457212714,2.625916870415648,0.19468215158924207,409
local-gemma-e2b,0.945,4.9125,0.044062500000000004,400,0.9975,4.97,-0.0012500000000000844,400,0.935,4.6575,0.022187499999999916,400,0.8575,3.86,0.0,400
local-qwen3-1.7b,0.9422110552763819,4.793969849246231,0.03203517587939697,398,0.9824120603015075,4.934673366834171,0.009422110552763874,398,0.9440203562340967,4.455470737913486,-0.012086513994911008,393,0.8271276595744681,4.223404255319149,0.07579787234042556,376
local-qwen3-4b,0.98989898989899,4.8232323232323235,-0.011994949494949503,396,0.99,4.8925,-0.0034374999999999822,400,0.9797979797979798,4.388888888888889,-0.05618686868686862,396,0.9491978609625669,3.9919786096256686,-0.07520053475935828,374
local-qwen3-14b,0.9775,4.8725,0.006562499999999916,400,0.9975,4.9675,-0.0015625000000000222,400,0.9825,4.47,-0.04875000000000007,400,0.9774436090225563,3.919799498746867,-0.11246867167919794,399
local-gemma-e4b,0.975,4.99,0.02375000000000005,400,0.9925,4.9975,0.007187499999999902,400,0.96,4.9025,0.027812500000000018,400,0.9598997493734336,4.423558897243108,-0.03195488721804507,399
qwen-turbo,0.965,4.9975,0.03468749999999998,400,0.9975,5.0,0.0024999999999999467,400,0.98,5.0,0.020000000000000018,400,1.0,4.6125,-0.04843750000000002,400
gpt-4o-mini,1.0,4.96,-0.0050000000000000044,400,1.0,4.975,-0.0031250000000000444,400,0.9898477157360406,4.733502538071066,-0.02315989847715738,394,0.959493670886076,4.686075949367089,0.0012658227848101333,395
gpt-5.4-mini,0.9925,5.0,0.007499999999999951,400,1.0,5.0,0.0,400,0.9975,4.995,0.00187499999999996,400,0.9725,4.8475,0.008437499999999987,400
deepseek-v4-flash-nothink,0.9975,4.98,0.0,400,1.0,4.99,-0.0012499999999999734,400,0.985,4.9025,0.0028124999999999956,400,0.9925,4.69,-0.03125,400
deepseek-v4-flash,1.0,4.959595959595959,-0.005050505050505083,396,1.0,4.982323232323233,-0.0022095959595959114,396,0.98989898989899,4.712121212121212,-0.025883838383838453,396,0.9873737373737373,4.207070707070707,-0.086489898989899,396
gpt-4o,1.0,4.985,-0.00187499999999996,400,1.0,4.99,-0.0012499999999999734,400,1.0,4.8225,-0.022187500000000027,400,0.985,4.4575,-0.05281250000000004,400
local-gemma-26b-a4b-qat,1.0,4.99748743718593,-0.0003140703517587884,398,1.0,5.0,0.0,396,0.9974811083123426,4.9773299748110835,-0.00031486146095716094,397,1.0,4.7972602739726025,-0.025342465753424692,365
deepseek-v4-pro-nothink,0.985,4.9875,0.013437499999999991,400,1.0,4.9975,-0.00031250000000004885,400,0.9925,4.9525,0.0015624999999999112,400,1.0,4.7625,-0.029687499999999978,400
deepseek-v4-pro,0.995,4.9125,-0.00593750000000004,400,1.0,4.959798994974874,-0.005025125628140725,398,0.9974937343358395,4.586466165413534,-0.04918546365914778,399,0.9870466321243523,4.450777202072539,-0.05569948186528495,386
qwen3.7-plus-nothink,1.0,5.0,0.0,400,1.0,5.0,0.0,400,0.9875,4.9925,0.01156249999999992,400,1.0,4.965,-0.004375000000000018,400
qwen3.7-max-nothink,1.0,4.99,-0.0012499999999999734,400,1.0,5.0,0.0,400,0.99,4.9925,0.009062499999999973,400,1.0,4.9,-0.012499999999999956,400
gpt-5.5,1.0,4.9925,-0.0009375000000000355,400,1.0,4.9975,-0.00031250000000004885,400,1.0,5.0,0.0,400,0.9974619289340102,4.8578680203045685,-0.015228426395939132,394
qwen3.7-plus,1.0,4.9975,-0.00031250000000004885,400,1.0,5.0,0.0,400,1.0,4.995,-0.0006249999999999867,400,0.9975,4.8075,-0.02156250000000004,400
qwen3.7-max,1.0,4.9975,-0.00031250000000004885,400,1.0,5.0,0.0,400,1.0,5.0,0.0,400,1.0,4.9075,-0.011562500000000031,400
