model,d_primary,d_primary_lo,d_primary_hi,sig_primary,d_linear_full,d_linear_full_lo,d_linear_full_hi,sig_linear_full,d_centered,d_centered_lo,d_centered_hi,sig_centered,d_top_conservative,d_top_conservative_lo,d_top_conservative_hi,sig_top_conservative
deepseek-v4-flash,0.05577763633603797,0.031661315046926986,0.08272154717802767,True,0.08189045509742232,0.05632933072166442,0.11075028473485653,True,-0.001175346359772636,-0.024592948586574896,0.02512907018090484,False,0.02620035739912787,0.002172222194330764,0.052946470030705454,True
deepseek-v4-flash-nothink,0.06951422093199758,0.044000527298893255,0.09896403769841275,True,0.11754544247115972,0.09502505131599139,0.1445415418927035,True,0.016927557680631394,-0.007735328438069198,0.043768488441772176,False,0.0458562917425622,0.020553685461956513,0.07297136515733657,True
deepseek-v4-pro,0.05694320269131531,0.032451158788046414,0.08501753927813656,True,0.08484971047494996,0.061297385060683336,0.11104115124396846,True,-0.0003685178089453539,-0.02418475081023425,0.02627266856166762,False,0.028806189089372068,0.004323308817788052,0.05644501989882074,True
deepseek-v4-pro-nothink,0.07318609593199754,0.04787930145688216,0.10031758702122148,True,0.12551419247115966,0.10448171422101446,0.15019279701565427,True,0.01974005768063143,-0.0047793595227253,0.045734935761001454,False,0.04913754174256224,0.025294021386599478,0.07582260498955606,True
gpt-4o,0.06615484593199757,0.04220862142911953,0.09405318856253793,True,0.1045766924711597,0.08060531508799172,0.13067011027167277,True,0.006740057680631392,-0.017011042429792442,0.03377779943276307,False,0.03520004174256221,0.011723034743788796,0.06314523291095982,True
gpt-4o-mini,0.06814361638511271,0.04360551021799382,0.09805291087451162,True,0.10978692689532582,0.08628386517768509,0.13590732421970442,True,0.018153761267793188,-0.005684972994665904,0.044677563973415185,False,0.04766029583318529,0.023327876909664407,0.07533493467553716,True
gpt-5.4-mini,0.07701422093199758,0.05178402949895815,0.1035764699404054,True,0.13442044247115972,0.11298025724844368,0.16076994371118009,True,0.02517755768063138,0.0005662259615384356,0.05112269098160479,True,0.05449691674256219,0.02968643859058177,0.08127766961095599,True
gpt-5.5,0.08160830421305151,0.058081406220034174,0.10764910998755908,True,0.13860625646112207,0.1178423348181541,0.1629007852197558,True,0.018478294819903672,-0.005326740752201416,0.044872850926439216,False,0.0480006612532272,0.02445415020307809,0.07427728660673022,True
local-gemma-26b-a4b-qat,0.07829535043071226,0.05364197611819895,0.1052804223974581,True,0.13325037499043996,0.11255260595341597,0.1582305102991912,True,0.01685927361893471,-0.008276563113412393,0.04361512558482226,False,0.046188071948217696,0.02130277340237549,0.07294667888482934,True
local-gemma-e2b,0.018186095931997576,-0.014425482966677377,0.05143637345632929,False,0.0548891924711597,0.024062116795147,0.08301110684198543,True,0.02961505768063142,5.526440648688355e-06,0.05946070074335952,True,0.027621916742562265,-0.004802974552848606,0.05853869128493793,False
local-gemma-e4b,0.05363481388071549,0.024250107348639815,0.08022466233453604,True,0.09391827314658183,0.06899639958324141,0.12512847939527896,True,0.03262193698019365,0.005042435515872951,0.059761196141301064,True,0.06061219386889119,0.030802185429443893,0.08349305207775672,True
local-qwen3-1.7b,0.03073401925468127,-0.0024496577322516114,0.056689709173011624,False,0.04355532665646321,0.01613067753413988,0.07285979936339959,True,0.04889940272855478,0.01773283350698308,0.0740824658635466,True,0.03928380771700314,0.005950077276744896,0.0656487734761536,True
local-qwen3-14b,0.03917265002830777,0.01178264853119599,0.06854442414655154,True,0.045606828493673784,0.018050378612655443,0.07437459935897434,True,-0.006339914176779468,-0.0335043937825038,0.02302979490973332,False,0.01947710944112381,-0.00798039973206187,0.049599798120188394,False
local-qwen3-4b,0.04449835646839601,0.01817028364976843,0.07350215445917009,True,0.04777233423361178,0.021166830376093102,0.07520795261593448,True,-0.0029060151163034093,-0.030098853257642652,0.0240203660966975,False,0.023885905407951782,-0.003514076774894558,0.051035182179106284,False
qwen-turbo,0.059279845931997616,0.033028687544959925,0.08716330555514301,True,0.10895169247115974,0.0838167359213722,0.13898345342569488,True,0.025177557680631353,-0.00118966017759569,0.0547802105017781,False,0.05301254174256216,0.025719856905624533,0.08152116802659971,True
qwen3.7-max,0.08271734593199756,0.058422247193219264,0.10930306461352655,True,0.14145169247115968,0.12155030948067633,0.16555393266908214,True,0.01924005768063141,-0.005205940047922679,0.04487978686544699,False,0.04879379174256221,0.024802410038731744,0.07576307189785114,True
qwen3.7-max-nothink,0.07951422093199752,0.05550043272454761,0.10539388026046255,True,0.13754544247115966,0.11635854834190901,0.16178128774154588,True,0.021177557680631447,-0.0029726620040390296,0.04726200884725468,False,0.05073129174256225,0.02661708290200134,0.07680449879227051,True
qwen3.7-plus,0.08006109593199756,0.05581620810688409,0.10776243563200086,True,0.1355141924711597,0.11473303903471681,0.1610017927234299,True,0.01724005768063141,-0.006536236197377534,0.04453457125603856,False,0.046496916742562205,0.02207491211611454,0.07388697492099768,True
qwen3.7-plus-nothink,0.08248297093199757,0.05893612471465736,0.10851826825612489,True,0.14285794247115968,0.12275241604667969,0.16736508016056864,True,0.023677557680631414,-0.001654673269581135,0.05087741091444981,False,0.05323129174256222,0.028292251114663946,0.08054315455934552,True
