model,fic_n,fic_acc,fic_conf,real_n,real_acc,real_conf,conf_gap
human,197,0.26903553299492383,1.6395939086294415,212,0.7311320754716981,3.542452830188679,1.9028589215592375
local-gemma-e2b,212,0.9339622641509434,3.1367924528301887,188,0.7712765957446809,4.675531914893617,1.5387394620634285
local-qwen3-1.7b,197,0.8477157360406091,3.730964467005076,179,0.8044692737430168,4.76536312849162,1.0343986614865437
local-qwen3-4b,195,0.9435897435897436,3.4512820512820515,179,0.9553072625698324,4.581005586592179,1.1297235353101271
local-qwen3-14b,212,0.9622641509433962,3.1462264150943398,187,0.9946524064171123,4.7967914438502675,1.6505650287559277
local-gemma-e4b,211,0.9383886255924171,3.938388625592417,188,0.9840425531914894,4.968085106382978,1.029696480790561
qwen-turbo,212,1.0,4.268867924528302,188,1.0,5.0,0.7311320754716979
gpt-4o-mini,209,0.9473684210526315,4.421052631578948,186,0.9731182795698925,4.983870967741935,0.5628183361629873
gpt-5.4-mini,212,0.9811320754716981,4.726415094339623,188,0.9627659574468085,4.98404255319149,0.257627458851867
deepseek-v4-flash-nothink,212,1.0,4.44811320754717,188,0.9840425531914894,4.962765957446808,0.5146527498996383
deepseek-v4-flash,210,0.9904761904761905,3.552380952380952,186,0.9838709677419355,4.946236559139785,1.3938556067588328
gpt-4o,212,0.9764150943396226,3.990566037735849,188,0.9946808510638298,4.98404255319149,0.9934765154556406
local-gemma-26b-a4b-qat,177,1.0,4.581920903954802,188,1.0,5.0,0.4180790960451981
deepseek-v4-pro-nothink,212,1.0,4.566037735849057,188,1.0,4.98404255319149,0.41800481734243267
deepseek-v4-pro,199,0.9849246231155779,4.150753768844221,187,0.9893048128342246,4.770053475935829,0.6192997070916082
qwen3.7-plus-nothink,212,1.0,4.933962264150943,188,1.0,5.0,0.06603773584905692
qwen3.7-max-nothink,212,1.0,4.811320754716981,188,1.0,5.0,0.18867924528301927
gpt-5.5,206,0.9951456310679612,4.728155339805825,188,1.0,5.0,0.27184466019417464
qwen3.7-plus,212,0.9952830188679245,4.636792452830188,188,1.0,5.0,0.36320754716981174
qwen3.7-max,212,1.0,4.839622641509434,188,1.0,4.98404255319149,0.14441991168205526
