model,n_wrong,mr_mean,mr_median,hdi_lo,hdi_hi,post_sd,rhat,n_div,width,reliable,evidence,mle_m_ratio,vendor,tier
qwen3.7-max,0,1.071,1.07,0.926,1.231,0.081,1.011,192,0.304,False,prior-dominated,0.9905033598543528,alibaba,frontier
qwen3.7-plus,1,1.021,1.019,0.869,1.187,0.081,1.026,242,0.318,False,prior-dominated,0.965390059300697,alibaba,frontier
gpt-5.5,1,1.074,1.067,0.924,1.254,0.085,1.024,195,0.33,False,prior-dominated,0.9901655264849633,openai,frontier
local-gemma-26b-a4b-qat,1,1.018,1.015,0.885,1.194,0.078,1.033,331,0.309,False,prior-dominated,0.8916925466374489,google(local),strong
qwen3.7-max-nothink,4,0.889,0.886,0.733,1.042,0.08,1.01,6,0.308,False,prior-dominated,0.4128307802356688,alibaba,frontier
qwen3.7-plus-nothink,5,1.005,1.008,0.854,1.172,0.083,1.012,117,0.318,False,prior-dominated,0.7172643549808545,alibaba,frontier
gpt-4o,6,0.968,0.967,0.838,1.112,0.075,1.01,126,0.274,False,prior-dominated,0.96605416971936,openai,strong
deepseek-v4-pro,8,0.894,0.891,0.717,1.03,0.081,1.028,31,0.313,False,prior-dominated,0.7256158194740052,deepseek,frontier
deepseek-v4-flash,9,0.753,0.754,0.609,0.907,0.076,1.01,14,0.298,False,prior-dominated,0.5457514285763477,deepseek,mid
deepseek-v4-pro-nothink,9,0.773,0.777,0.642,0.939,0.076,1.007,5,0.297,False,prior-dominated,0.4055180817734715,deepseek,frontier
deepseek-v4-flash-nothink,10,0.62,0.62,0.472,0.76,0.072,1.009,2,0.288,True,regularized,0.3043576639974752,deepseek,mid
gpt-5.4-mini,15,0.941,0.941,0.79,1.075,0.074,1.006,83,0.285,False,regularized,0.7896893037246251,openai,mid
gpt-4o-mini,20,0.836,0.838,0.702,0.962,0.067,1.008,38,0.26,True,regularized,0.7422297127112903,openai,mid
qwen-turbo,23,0.763,0.762,0.607,0.914,0.079,1.005,72,0.306,False,regularized,0.3954039247850434,alibaba,mid
local-qwen3-14b,26,0.665,0.666,0.536,0.789,0.066,1.003,4,0.254,True,regularized,0.5418805587663552,other,unspecified
local-qwen3-4b,35,0.671,0.672,0.539,0.798,0.067,1.003,0,0.258,True,data-driven,0.5823693529650962,other,unspecified
local-gemma-e4b,45,0.787,0.791,0.644,0.915,0.073,1.005,10,0.271,True,data-driven,0.6904729676009096,google(local),mid
local-gemma-e2b,106,0.42,0.417,0.307,0.54,0.062,1.002,171,0.233,False,data-driven,0.3753312509806626,google(local),weak
local-qwen3-1.7b,117,0.372,0.371,0.259,0.52,0.066,1.003,54,0.262,False,data-driven,0.3097211696684001,other,unspecified
human,437,1.334,1.328,1.16,1.522,0.095,1.002,0,0.362,True,data-driven,1.3695381228779735,human,human
