model,tier,n,n_wrong,acc,dprime,meta_d,m_ratio,m_diff,estimable,vendor,thinking,condition
human,human,1647,437,0.734669095324833,1.3388688088371725,1.8336318752347296,1.3695381228779735,0.49476306639755707,True,human,False,na
local-gemma-e2b,weak,1600,106,0.93375,3.0428862531386267,1.142090303982382,0.3753312509806626,-1.9007959491562447,True,google(local),True,na
local-qwen3-1.7b,unspecified,1565,117,0.9252396166134186,2.866666737154139,0.8878673748808759,0.3097211696684001,-1.9787993622732631,True,other,True,na
local-qwen3-4b,unspecified,1566,35,0.9776500638569604,3.9671704055848727,2.3103584622027404,0.5823693529650962,-1.6568119433821322,True,other,True,na
local-qwen3-14b,unspecified,1599,26,0.983739837398374,4.230786613690118,2.292581014247617,0.5418805587663552,-1.9382055994425014,False,other,True,na
local-gemma-e4b,mid,1599,45,0.9718574108818011,3.8823247257461437,2.6806402745763274,0.6904729676009096,-1.2016844511698164,True,google(local),True,na
qwen-turbo,mid,1600,23,0.985625,4.3042616380599545,1.7019219449906062,0.39540392478504344,-2.6023396930693483,False,alibaba,False,na
gpt-4o-mini,mid,1589,20,0.9874134675896791,4.482638287545477,3.32714732835351,0.7422297127112903,-1.155490959191967,False,openai,False,na
gpt-5.4-mini,mid,1600,15,0.990625,4.6031990746197184,3.635097072142284,0.7896893037246251,-0.9681020024774343,False,openai,True,na
deepseek-v4-flash-nothink,mid,1600,10,0.99375,5.213142395534097,1.5866598415909599,0.3043576639974752,-3.626482553943138,False,deepseek,False,nothink
deepseek-v4-flash,mid,1584,9,0.9943181818181818,4.938059956318055,2.6949532755562355,0.5457514285763477,-2.2431066807618194,False,deepseek,True,think
gpt-4o,strong,1600,6,0.99625,5.240470036847757,5.062577930386143,0.9660541697193599,-0.17789210646161369,False,openai,False,na
local-gemma-26b-a4b-qat,strong,1556,1,0.9993573264781491,5.813082230150925,5.183482097616179,0.8916925466374489,-0.6296001325347458,False,google(local),True,na
deepseek-v4-pro-nothink,frontier,1600,9,0.994375,4.945087037969062,2.005322209840072,0.40551808177347154,-2.9397648281289896,False,deepseek,False,nothink
deepseek-v4-pro,frontier,1583,8,0.9949463044851548,4.995371067832509,3.6247202709620225,0.7256158194740052,-1.3706507968704864,False,deepseek,True,think
qwen3.7-plus-nothink,frontier,1600,5,0.996875,5.2971237581756805,3.7994380556616396,0.7172643549808545,-1.4976857025140409,False,alibaba,False,nothink
qwen3.7-max-nothink,frontier,1600,4,0.9975,5.511207051109771,2.2751959069499663,0.4128307802356688,-3.236011144159805,False,alibaba,False,nothink
gpt-5.5,frontier,1594,1,0.9993726474278545,5.827233161238917,5.769925391048769,0.9901655264849633,-0.05730777019014788,False,openai,True,na
qwen3.7-plus,frontier,1600,1,0.999375,5.829369830181644,5.627615686044751,0.965390059300697,-0.20175414413689285,False,alibaba,True,think
qwen3.7-max,frontier,1600,0,1.0,6.043453123115734,5.986060623568417,0.9905033598543529,-0.0573924995473174,False,alibaba,True,think
