model,conf,stated,acc,n
deepseek-v4-flash,1,0.5,1.0,5
deepseek-v4-flash,2,0.625,1.0,52
deepseek-v4-flash,3,0.75,1.0,19
deepseek-v4-flash,4,0.875,0.9620253164556962,237
deepseek-v4-flash,5,1.0,1.0,1271
deepseek-v4-flash-nothink,1,0.5,1.0,3
deepseek-v4-flash-nothink,2,0.625,1.0,11
deepseek-v4-flash-nothink,3,0.75,1.0,9
deepseek-v4-flash-nothink,4,0.875,0.9732142857142857,112
deepseek-v4-flash-nothink,5,1.0,0.995221843003413,1465
deepseek-v4-pro,2,0.625,0.9090909090909091,11
deepseek-v4-pro,3,0.75,1.0,2
deepseek-v4-pro,4,0.875,0.9820971867007673,391
deepseek-v4-pro,5,1.0,1.0,1179
deepseek-v4-pro-nothink,1,0.5,1.0,1
deepseek-v4-pro-nothink,3,0.75,1.0,7
deepseek-v4-pro-nothink,4,0.875,0.9803921568627451,102
deepseek-v4-pro-nothink,5,1.0,0.9953020134228188,1490
gpt-4o,1,0.5,1.0,4
gpt-4o,2,0.625,0.9333333333333333,15
gpt-4o,3,0.75,0.9285714285714286,28
gpt-4o,4,0.875,0.9834254143646409,181
gpt-4o,5,1.0,1.0,1372
gpt-4o-mini,2,0.625,1.0,1
gpt-4o-mini,3,0.75,1.0,1
gpt-4o-mini,4,0.875,0.952,250
gpt-4o-mini,5,1.0,0.994016454749439,1337
gpt-5.4-mini,1,0.5,1.0,1
gpt-5.4-mini,2,0.625,0.8,5
gpt-5.4-mini,3,0.75,0.0,2
gpt-5.4-mini,4,0.875,0.925,40
gpt-5.4-mini,5,1.0,0.9942010309278351,1552
gpt-5.5,3,0.75,1.0,2
gpt-5.5,4,0.875,0.9821428571428571,56
gpt-5.5,5,1.0,1.0,1536
human,1,0.5,0.3826086956521739,230
human,2,0.625,0.5706214689265536,177
human,3,0.75,0.6534653465346535,303
human,4,0.875,0.7741935483870968,310
human,5,1.0,0.9298245614035088,627
local-gemma-26b-a4b-qat,2,0.625,1.0,6
local-gemma-26b-a4b-qat,3,0.75,1.0,2
local-gemma-26b-a4b-qat,4,0.875,1.0,62
local-gemma-26b-a4b-qat,5,1.0,0.9993270524899058,1486
local-gemma-e2b,1,0.5,1.0,2
local-gemma-e2b,2,0.625,1.0,78
local-gemma-e2b,3,0.75,0.8681318681318682,91
local-gemma-e2b,4,0.875,0.7824074074074074,216
local-gemma-e2b,5,1.0,0.9612530915086562,1213
local-gemma-e4b,1,0.5,1.0,4
local-gemma-e4b,2,0.625,1.0,33
local-gemma-e4b,3,0.75,1.0,22
local-gemma-e4b,4,0.875,0.8782608695652174,115
local-gemma-e4b,5,1.0,0.9782456140350877,1425
local-qwen3-1.7b,1,0.5,1.0,3
local-qwen3-1.7b,2,0.625,1.0,51
local-qwen3-1.7b,3,0.75,0.782608695652174,69
local-qwen3-1.7b,4,0.875,0.8745980707395499,311
local-qwen3-1.7b,5,1.0,0.9442970822281167,1131
local-qwen3-14b,1,0.5,1.0,2
local-qwen3-14b,2,0.625,1.0,74
local-qwen3-14b,3,0.75,0.9294117647058824,85
local-qwen3-14b,4,0.875,0.9543973941368078,307
local-qwen3-14b,5,1.0,0.9946949602122016,1131
local-qwen3-4b,1,0.5,0.5,2
local-qwen3-4b,2,0.625,1.0,42
local-qwen3-4b,3,0.75,0.9010989010989011,91
local-qwen3-4b,4,0.875,0.9495192307692307,416
local-qwen3-4b,5,1.0,0.9960591133004926,1015
qwen-turbo,1,0.5,1.0,14
qwen-turbo,2,0.625,1.0,33
qwen-turbo,4,0.875,0.0,1
qwen-turbo,5,1.0,0.9858247422680413,1552
qwen3.7-max,4,0.875,1.0,38
qwen3.7-max,5,1.0,1.0,1562
qwen3.7-max-nothink,4,0.875,1.0,47
qwen3.7-max-nothink,5,1.0,0.9974243399871217,1553
qwen3.7-plus,2,0.625,1.0,7
qwen3.7-plus,3,0.75,1.0,5
qwen3.7-plus,4,0.875,0.9795918367346939,49
qwen3.7-plus,5,1.0,1.0,1539
qwen3.7-plus-nothink,4,0.875,0.9411764705882353,17
qwen3.7-plus-nothink,5,1.0,0.9974731522425774,1583
